exec_gas,data_gas,algorithm
167440,996,compressed
160145,1508,uncompressed
170039,984,compressed
162744,1496,uncompressed
169469,996,compressed
162182,1508,uncompressed
167424,996,compressed
160145,1508,uncompressed
172233,996,compressed
164938,1508,uncompressed
167705,996,compressed
160426,1508,uncompressed
169680,996,compressed
162401,1508,uncompressed
167440,996,compressed
160145,1508,uncompressed
167440,996,compressed
160145,1496,uncompressed
167713,984,compressed
160426,1496,uncompressed
167424,996,compressed
160145,1508,uncompressed
167151,996,compressed
159864,1508,uncompressed
172287,996,compressed
165000,1508,uncompressed
167159,996,compressed
159864,1508,uncompressed
169688,996,compressed
162401,1508,uncompressed
169407,996,compressed
162120,1484,uncompressed
172006,984,compressed
164719,1496,uncompressed
172006,996,compressed
164719,1508,uncompressed
169758,996,compressed
162463,1508,uncompressed
169961,996,compressed
162682,1508,uncompressed
169750,996,compressed
162463,1508,uncompressed
172006,996,compressed
164719,1508,uncompressed
169477,984,compressed
162182,1496,uncompressed
167705,996,compressed
160426,1508,uncompressed
169758,996,compressed
162463,1508,uncompressed
170031,996,compressed
162744,1508,uncompressed
169688,996,compressed
162401,1496,uncompressed
172068,996,compressed
164781,1508,uncompressed
169758,996,compressed
162463,1508,uncompressed
169750,996,compressed
162463,1508,uncompressed
169750,996,compressed
162463,1508,uncompressed
169469,996,compressed
162182,1508,uncompressed
169758,996,compressed
162463,1508,uncompressed
169680,996,compressed
162401,1496,uncompressed
167159,984,compressed
159864,1496,uncompressed
169688,996,compressed
162401,1508,uncompressed
167432,996,compressed
160145,1496,uncompressed
171787,996,compressed
164500,1508,uncompressed
171998,996,compressed
164719,1508,uncompressed
167440,996,compressed
160145,1484,uncompressed
169477,996,compressed
162182,1508,uncompressed
167705,996,compressed
160426,1508,uncompressed
171936,996,compressed
164657,1508,uncompressed
169399,996,compressed
162120,1508,uncompressed
169461,996,compressed
162182,1508,uncompressed
172349,996,compressed
165062,1508,uncompressed
169750,996,compressed
162463,1508,uncompressed
170031,996,compressed
162744,1508,uncompressed
169750,996,compressed
162463,1508,uncompressed
169750,996,compressed
162463,1508,uncompressed
170039,996,compressed
162744,1508,uncompressed
169750,996,compressed
162463,1508,uncompressed
172006,996,compressed
164719,1508,uncompressed
169688,996,compressed
162401,1508,uncompressed
169961,996,compressed
162682,1508,uncompressed
167440,996,compressed
160145,1508,uncompressed
167424,996,compressed
160145,1496,uncompressed
172349,996,compressed
165062,1496,uncompressed
171936,996,compressed
164657,1496,uncompressed
169688,996,compressed
162401,1508,uncompressed
172068,996,compressed
164781,1508,uncompressed
167721,984,compressed
160426,1484,uncompressed
172060,996,compressed
164781,1496,uncompressed
171787,996,compressed
164500,1508,uncompressed
169969,996,compressed
162682,1508,uncompressed
171944,996,compressed
164657,1508,uncompressed
172279,996,compressed
165000,1496,uncompressed
169969,996,compressed
162682,1508,uncompressed
169407,996,compressed
162120,1508,uncompressed
169742,996,compressed
162463,1508,uncompressed
167432,996,compressed
160145,1496,uncompressed
169469,996,compressed
162182,1508,uncompressed
172349,996,compressed
165062,1496,uncompressed
171998,996,compressed
164719,1508,uncompressed
167159,996,compressed
159864,1508,uncompressed
167143,984,compressed
159864,1496,uncompressed
170031,996,compressed
162744,1508,uncompressed
169415,996,compressed
162120,1508,uncompressed
171936,996,compressed
164657,1508,uncompressed
172279,996,compressed
165000,1508,uncompressed
169680,996,compressed
162401,1508,uncompressed
169399,996,compressed
162120,1508,uncompressed
171795,996,compressed
164500,1508,uncompressed
169961,996,compressed
162682,1508,uncompressed
172006,996,compressed
164719,1508,uncompressed
172006,996,compressed
164719,1508,uncompressed
172295,996,compressed
165000,1508,uncompressed
167151,996,compressed
159864,1508,uncompressed
167424,996,compressed
160145,1508,uncompressed
167151,984,compressed
159864,1496,uncompressed
169750,996,compressed
162463,1496,uncompressed
172006,996,compressed
164719,1508,uncompressed
169407,996,compressed
162120,1508,uncompressed
167432,996,compressed
160145,1496,uncompressed
167713,996,compressed
160426,1484,uncompressed
169688,996,compressed
162401,1508,uncompressed
169688,996,compressed
162401,1508,uncompressed
167721,996,compressed
160426,1508,uncompressed
171944,996,compressed
164657,1508,uncompressed
169969,996,compressed
162682,1508,uncompressed
172068,996,compressed
164781,1508,uncompressed
167432,996,compressed
160145,1508,uncompressed
172006,984,compressed
164719,1496,uncompressed
169680,996,compressed
162401,1508,uncompressed
169977,996,compressed
162682,1508,uncompressed
169961,996,compressed
162682,1508,uncompressed
169758,996,compressed
162463,1508,uncompressed
167432,996,compressed
160145,1508,uncompressed
167721,996,compressed
160426,1496,uncompressed
170039,996,compressed
162744,1508,uncompressed
169742,996,compressed
162463,1508,uncompressed
169977,984,compressed
162682,1484,uncompressed
169415,996,compressed
162120,1508,uncompressed
169758,996,compressed
162463,1508,uncompressed
167151,996,compressed
159864,1508,uncompressed
167721,996,compressed
160426,1508,uncompressed
169407,996,compressed
162120,1508,uncompressed
169750,996,compressed
162463,1508,uncompressed
169477,996,compressed
162182,1496,uncompressed
171952,996,compressed
164657,1508,uncompressed
169750,996,compressed
162463,1508,uncompressed
167151,996,compressed
159864,1508,uncompressed
167432,996,compressed
160145,1496,uncompressed
172006,996,compressed
164719,1508,uncompressed
169469,996,compressed
162182,1508,uncompressed
169758,996,compressed
162463,1508,uncompressed
167713,996,compressed
160426,1508,uncompressed
170023,996,compressed
162744,1508,uncompressed
170023,996,compressed
162744,1508,uncompressed
171787,996,compressed
164500,1508,uncompressed
167432,996,compressed
160145,1508,uncompressed
169696,996,compressed
162401,1508,uncompressed
169961,996,compressed
162682,1508,uncompressed
167143,996,compressed
159864,1508,uncompressed
171733,996,compressed
164438,1508,uncompressed
172279,996,compressed
165000,1508,uncompressed
167424,996,compressed
160145,1508,uncompressed
170023,996,compressed
162744,1508,uncompressed
167432,996,compressed
160145,1484,uncompressed
171655,996,compressed
164376,1496,uncompressed
171787,996,compressed
164500,1496,uncompressed
167432,984,compressed
160145,1484,uncompressed
169415,984,compressed
162120,1496,uncompressed
167143,996,compressed
159864,1508,uncompressed
171717,996,compressed
164438,1508,uncompressed
169696,996,compressed
162401,1508,uncompressed
167432,996,compressed
160145,1496,uncompressed
167432,996,compressed
160145,1508,uncompressed
172357,996,compressed
165062,1508,uncompressed
167705,996,compressed
160426,1508,uncompressed
167143,996,compressed
159864,1508,uncompressed
169680,996,compressed
162401,1508,uncompressed
167713,996,compressed
160426,1508,uncompressed
169969,984,compressed
162682,1496,uncompressed
169969,996,compressed
162682,1508,uncompressed
169680,996,compressed
162401,1508,uncompressed
169688,996,compressed
162401,1508,uncompressed
171725,984,compressed
164438,1496,uncompressed
171663,996,compressed
164376,1508,uncompressed
171733,996,compressed
164438,1508,uncompressed
167151,996,compressed
159864,1508,uncompressed
167424,996,compressed
160145,1508,uncompressed
167424,984,compressed
160145,1496,uncompressed
169680,996,compressed
162401,1496,uncompressed
171944,996,compressed
164657,1508,uncompressed
169407,996,compressed
162120,1508,uncompressed
167143,984,compressed
159864,1496,uncompressed
170039,996,compressed
162744,1508,uncompressed
167143,996,compressed
159864,1508,uncompressed
172349,996,compressed
165062,1508,uncompressed
170031,996,compressed
162744,1508,uncompressed
172068,996,compressed
164781,1496,uncompressed
169750,996,compressed
162463,1508,uncompressed
171717,996,compressed
164438,1508,uncompressed
167705,984,compressed
160426,1484,uncompressed
169961,996,compressed
162682,1508,uncompressed
169477,996,compressed
162182,1508,uncompressed
169750,996,compressed
162463,1508,uncompressed
167713,996,compressed
160426,1508,uncompressed
169407,996,compressed
162120,1508,uncompressed
169688,996,compressed
162401,1508,uncompressed
169407,996,compressed
162120,1508,uncompressed
169415,984,compressed
162120,1496,uncompressed
167432,984,compressed
160145,1496,uncompressed
169750,996,compressed
162463,1508,uncompressed
167151,996,compressed
159864,1508,uncompressed
172279,984,compressed
165000,1496,uncompressed
169758,972,compressed
162463,1484,uncompressed
169461,996,compressed
162182,1508,uncompressed
169461,996,compressed
162182,1508,uncompressed
172357,996,compressed
165062,1508,uncompressed
172225,996,compressed
164938,1508,uncompressed
171795,996,compressed
164500,1508,uncompressed
170031,996,compressed
162744,1508,uncompressed
169680,996,compressed
162401,1508,uncompressed
169742,996,compressed
162463,1508,uncompressed
167440,996,compressed
160145,1508,uncompressed
167424,996,compressed
160145,1508,uncompressed
169407,996,compressed
162120,1508,uncompressed
167713,996,compressed
160426,1508,uncompressed
167432,996,compressed
160145,1508,uncompressed
169688,996,compressed
162401,1508,uncompressed
171663,996,compressed
164376,1496,uncompressed
167440,996,compressed
160145,1508,uncompressed
169477,996,compressed
162182,1508,uncompressed
171663,996,compressed
164376,1508,uncompressed
169477,996,compressed
162182,1508,uncompressed
171944,996,compressed
164657,1508,uncompressed
172060,996,compressed
164781,1508,uncompressed
170031,996,compressed
162744,1508,uncompressed
167424,996,compressed
160145,1508,uncompressed
169688,996,compressed
162401,1508,uncompressed
167424,996,compressed
160145,1508,uncompressed
172068,996,compressed
164781,1508,uncompressed
167713,984,compressed
160426,1496,uncompressed
172068,996,compressed
164781,1508,uncompressed
169461,996,compressed
162182,1496,uncompressed
169469,996,compressed
162182,1496,uncompressed
171944,996,compressed
164657,1508,uncompressed
169758,996,compressed
162463,1508,uncompressed
169696,996,compressed
162401,1508,uncompressed
172014,996,compressed
164719,1508,uncompressed
169399,996,compressed
162120,1508,uncompressed
171998,984,compressed
164719,1496,uncompressed
171779,984,compressed
164500,1484,uncompressed
170023,996,compressed
162744,1508,uncompressed
169469,996,compressed
162182,1508,uncompressed
167424,996,compressed
160145,1496,uncompressed
171717,996,compressed
164438,1508,uncompressed
170039,996,compressed
162744,1496,uncompressed
172014,984,compressed
164719,1484,uncompressed
169969,996,compressed
162682,1508,uncompressed
169461,996,compressed
162182,1508,uncompressed
169750,996,compressed
162463,1508,uncompressed
167440,996,compressed
160145,1508,uncompressed
169399,996,compressed
162120,1508,uncompressed
169750,996,compressed
162463,1508,uncompressed
167440,996,compressed
160145,1496,uncompressed
170031,996,compressed
162744,1508,uncompressed
172014,984,compressed
164719,1496,uncompressed
170039,996,compressed
162744,1508,uncompressed
169680,984,compressed
162401,1484,uncompressed
170031,996,compressed
162744,1508,uncompressed
167432,996,compressed
160145,1508,uncompressed
167432,996,compressed
160145,1508,uncompressed
169696,996,compressed
162401,1496,uncompressed
172217,996,compressed
164938,1508,uncompressed
167432,996,compressed
160145,1508,uncompressed
169688,996,compressed
162401,1508,uncompressed
169750,996,compressed
162463,1508,uncompressed
169461,996,compressed
162182,1508,uncompressed
169969,996,compressed
162682,1508,uncompressed
167440,996,compressed
160145,1508,uncompressed
171663,996,compressed
164376,1508,uncompressed
171725,996,compressed
164438,1508,uncompressed
169758,996,compressed
162463,1508,uncompressed
167432,1008,compressed
160145,1520,uncompressed
169969,1008,compressed
162682,1508,uncompressed
167432,1008,compressed
160145,1520,uncompressed
169680,1008,compressed
162401,1520,uncompressed
169688,1008,compressed
162401,1520,uncompressed
170023,1008,compressed
162744,1520,uncompressed
171725,1008,compressed
164438,1520,uncompressed
167151,1008,compressed
159864,1520,uncompressed
167424,1008,compressed
160145,1484,uncompressed
169688,1008,compressed
162401,1508,uncompressed
169750,1008,compressed
162463,1520,uncompressed
167432,1008,compressed
160145,1520,uncompressed
167721,1008,compressed
160426,1520,uncompressed
167721,996,compressed
160426,1508,uncompressed
169742,1008,compressed
162463,1520,uncompressed
171998,1008,compressed
164719,1508,uncompressed
172006,1008,compressed
164719,1520,uncompressed
169407,1008,compressed
162120,1520,uncompressed
167432,1008,compressed
160145,1520,uncompressed
169415,1008,compressed
162120,1520,uncompressed
171944,996,compressed
164657,1508,uncompressed
167432,1008,compressed
160145,1508,uncompressed
171725,1008,compressed
164438,1520,uncompressed
169688,1008,compressed
162401,1520,uncompressed
167432,1008,compressed
160145,1520,uncompressed
167151,1008,compressed
159864,1496,uncompressed
169461,1008,compressed
162182,1520,uncompressed
167424,1008,compressed
160145,1520,uncompressed
167159,1008,compressed
159864,1520,uncompressed
169969,1008,compressed
162682,1520,uncompressed
169758,1008,compressed
162463,1520,uncompressed
167432,1008,compressed
160145,1520,uncompressed
170039,1008,compressed
162744,1520,uncompressed
170031,1008,compressed
162744,1520,uncompressed
169399,996,compressed
162120,1508,uncompressed
169977,1008,compressed
162682,1508,uncompressed
171655,1008,compressed
164376,1508,uncompressed
167713,1008,compressed
160426,1520,uncompressed
172279,1008,compressed
165000,1520,uncompressed
169969,996,compressed
162682,1508,uncompressed
170023,1008,compressed
162744,1520,uncompressed
169399,1008,compressed
162120,1520,uncompressed
169758,1008,compressed
162463,1520,uncompressed
172076,1008,compressed
164781,1508,uncompressed
167432,1008,compressed
160145,1520,uncompressed
